"routeCode","busRegNo","serviceDate","schedDepart","schedArrive","headsign"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T05:00:00.000Z","2025-10-06T07:33:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T05:05:00.000Z","2025-10-06T07:38:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T05:10:00.000Z","2025-10-06T07:43:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T05:15:00.000Z","2025-10-06T07:48:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T05:20:00.000Z","2025-10-06T07:53:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T05:25:00.000Z","2025-10-06T07:58:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T05:30:00.000Z","2025-10-06T08:03:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T05:35:00.000Z","2025-10-06T08:08:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T05:40:00.000Z","2025-10-06T08:13:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T05:45:00.000Z","2025-10-06T08:18:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T05:50:00.000Z","2025-10-06T08:23:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T05:55:00.000Z","2025-10-06T08:28:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T06:00:00.000Z","2025-10-06T08:33:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T06:05:00.000Z","2025-10-06T08:38:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T06:10:00.000Z","2025-10-06T08:43:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T06:15:00.000Z","2025-10-06T08:48:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T06:20:00.000Z","2025-10-06T08:53:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T06:25:00.000Z","2025-10-06T08:58:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T06:30:00.000Z","2025-10-06T09:03:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T06:35:00.000Z","2025-10-06T09:08:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T06:40:00.000Z","2025-10-06T09:13:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T06:45:00.000Z","2025-10-06T09:18:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T06:50:00.000Z","2025-10-06T09:23:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T06:55:00.000Z","2025-10-06T09:28:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T07:00:00.000Z","2025-10-06T09:33:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T07:05:00.000Z","2025-10-06T09:38:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T07:10:00.000Z","2025-10-06T09:43:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T07:15:00.000Z","2025-10-06T09:48:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T07:20:00.000Z","2025-10-06T09:53:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T07:25:00.000Z","2025-10-06T09:58:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T07:30:00.000Z","2025-10-06T10:03:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T07:35:00.000Z","2025-10-06T10:08:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T07:40:00.000Z","2025-10-06T10:13:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T07:45:00.000Z","2025-10-06T10:18:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T07:50:00.000Z","2025-10-06T10:23:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T07:55:00.000Z","2025-10-06T10:28:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T08:00:00.000Z","2025-10-06T10:33:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T08:05:00.000Z","2025-10-06T10:38:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T08:10:00.000Z","2025-10-06T10:43:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T08:15:00.000Z","2025-10-06T10:48:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T08:20:00.000Z","2025-10-06T10:53:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T08:25:00.000Z","2025-10-06T10:58:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T08:30:00.000Z","2025-10-06T11:03:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T08:35:00.000Z","2025-10-06T11:08:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T08:40:00.000Z","2025-10-06T11:13:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T08:45:00.000Z","2025-10-06T11:18:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T08:50:00.000Z","2025-10-06T11:23:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T08:55:00.000Z","2025-10-06T11:28:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T09:00:00.000Z","2025-10-06T11:33:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T09:05:00.000Z","2025-10-06T11:38:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T09:10:00.000Z","2025-10-06T11:43:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T09:15:00.000Z","2025-10-06T11:48:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T09:20:00.000Z","2025-10-06T11:53:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T09:25:00.000Z","2025-10-06T11:58:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T09:30:00.000Z","2025-10-06T12:03:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T09:35:00.000Z","2025-10-06T12:08:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T09:40:00.000Z","2025-10-06T12:13:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T09:45:00.000Z","2025-10-06T12:18:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T09:50:00.000Z","2025-10-06T12:23:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T09:55:00.000Z","2025-10-06T12:28:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T10:00:00.000Z","2025-10-06T12:33:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T10:05:00.000Z","2025-10-06T12:38:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T10:10:00.000Z","2025-10-06T12:43:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T10:15:00.000Z","2025-10-06T12:48:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T10:20:00.000Z","2025-10-06T12:53:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T10:25:00.000Z","2025-10-06T12:58:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T10:30:00.000Z","2025-10-06T13:03:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T10:35:00.000Z","2025-10-06T13:08:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T10:40:00.000Z","2025-10-06T13:13:00.000Z","Colombo - Kandy"
